term	paraphrase
glycogénose de type V	fait partie du du groupe de maladies métaboliques génétiques, les glycogénoses, dans lesquelles l'organisme est incapable d'utiliser correctement les sucres comme source d'énergie
cryothérapie	fait référence à l' application d' un froid extrême pour détruire les tissus malades
arthrose et l' arthrite	font toutes deux partie de la grande famille des rhumatismes
déficits en protéine C ou S , en antithrombine III et l' hyperhomocystéinémie familiale	maladies héréditaires prédisposant aux thromboses
anémie hémolytique autoimmune	Il s' agit d' une maladie « auto-immune » au cours de laquelle le système immunitaire se « dérègle » en produisant de façon anormale des anticorps dirigés contre des composants (cellules , protéines) de la personne atteinte
anémies « hémolytiques »	c' està-dire dues à une destruction importante des globules rouges
complication oculaire	notamment des cataractes et altération de la rétine
médicament	notamment la pilule contraceptive
effets secondaires de la ménopause	notamment bouffées de chaleur
médicament	notamment des antibiotiques
anévrisme	notamment une malformation de la paroi de certains vaisseaux sanguins
déformation du squelette	notamment scoliose
déformation	notamment scoliose
analogues de la somatostatine	notamment l' octréotide et le lanréotide
maladie psychiatrique	notamment l' addiction aux jeux d' argent»
Psychothérapie	notamment la thérapie cognitivo-comportementale
effets secondaires de l' aspirine au niveau digestif	notamment irritations , saignements
endocardite	notamment L' infection du cœur
splénectomisé	notamment personnes à qui on a retiré la rate
« biothérapies »	notamment le rituximab
enzyme musculaire	notamment la créatine phosphokinase , CPK
scoliose	notamment une déviation de la colonne vertébrale
symptômes de dépression	notamment perte d' intérêt , tristesse , perte d' estime de soi
Chimiosensible	se dit d' une tumeur cancéreuse si celle-ci réagit aux médicaments de chimiothérapie , notamment lorsque la taille de la tumeur diminue sous l' effet de la chimiothérapie
glande	hypophyse
médicament anticoagulant	comme le Coumadin
arthrose	ou d'autres maladies des os
rhizarthrose	arthrose du pouce
superoxyde dismutase	une enzyme qui inactive les radicaux libres
syndrome de Koenig	Des douleurs à type de coliques intestinales intermittentes avec ballonnement pouvant durer 1 à 2 jours et suivies d' une débâcle diarrhéique fétide
maladie chronique	à long terme
cystite	Une inflammation de la vessie et de l' urètre
chondrocalcinose	dépôt de microcristaux de pyrophosphates de calcium dans la membrane synoviale et les cartilages que l' on peut détecter sur une radiographie standard de l' articulation , notamment du genou
chondrocalcinose	dépôt de microcristaux de pyrophosphates de calcium dans la membrane synoviale et les cartilages
dyspnée	une difficulté à respirer
céphalées	importants maux de tête
infarctus du myocarde	crise cardiaque
infection virale	mononucléose , hépatite C
glycémie	le taux de sucre dans le sang
nerf sensitif	ramènent les sensations perçues par l' organisme vers la moelle épinière
dégénérescence	capacité à disparaître
glycémie	taux de sucre
virus de la mononucléose infectieuse	virus d' Epstein-Barr ou EBV
trouble de la conduction électrique	bloc auriculo-ventriculaire ou dysfonction sinusale
bradycardie	ralentissement excessif du cœur
forme d' amyotrophie spinale	d' autres amyotrophie spino-bulbaire liée à l' X ou syndrome de Kennedy , amyotrophie spinale scapulo-péronière
neurone dopaminergique	c'est-à-dire ceux qui utilisent la dopamine comme neurotransmetteur
cryothérapie	en référence à l' application de froid sur les muscles et les articulations endoloris ou fatigués après un effort physique
arthrose	ou d' autres maladies des os
traitement anticoagulant	notamment par antivitamines K
affection opportuniste	On appelle les maladies ou les infection qui accompagnent le sida
assassin silencieux	On appelle les gens qui en souffrent ne ressentent très souvent AUCUN SYMPTÔME
syndrome parkinsonien	on les appelle certaines maladies conduisent à un tremblement de type parkinsonien
syndrome primaire des antiphospholipides	on parle de Lorsque les thromboses et la présence d' anticorps anti-phospholipides surviennent de façon isolée , sans autre maladie auto-immune associée
« claudication des mâchoires »	on parle de une faiblesse douloureuse dans les muscles de la mâchoire lors de la mastication
trouble du geste	ou apraxie
maladie de Werdnig-Hoffmann	ou amyotrophie spinale infantile sévère
amyotrophie spinale juvénile	ou maladie de Kugelberg-Welander
hypercholestérolémie	ou Un taux de cholestérol élevé
Maladie d' Alzheimer	ou démence
maladie de WerdnigHoffmann	ou amyotrophie spinale proximale type 1
asthme	ou d' maladie pulmonaire chronique
inflammation	ou d' autres affections de l' œil
emphysème sévère	ou d' une autre maladie pulmonaire
maladie d' Alzheimer	ou d' une autre forme de démence
déficit neurologique	par exemple hémiplégie
anti-inflammatoire non stéroïdien	par exemple Apranax®, Naprosyne®, Nifluril®, Surgam®, Voltarène®
masque	par exemple l'appareil respiratoire N95
acétaminophène	par exemple Tylenol
acétaminophène	par exemple Tylenol©
médicaments contre la douleur	par exemple à base de paracétamol
problème cardiaque	par exemple hypertension
séquelles peuvent être esthétiques	par exemple cicatrice importante après une opération
« greffes cancéreuses péritonéales »	par exemple Lorsque les cellules cancéreuses se propagent dans la cavité péritonéale , elles peuvent se greffer un peu partout dans la cavité
radiologie « classique »	par exemple radiologie des poumons
tumeur bénigne	par exemple des polype
médicament	par exemple la cortisone
rubéole	par exemple une infection
hypophysaire	par exemple un geste chirurgical
choc mineur	par exemple se briser une côte en toussant
infection	par exemple une bronchite
protéine virale	par exemple gp41
accident sportif	par exemple placage au rugby
séquelle esthétique	par exemple cicatrice importante après une opération
uneradiothérapie	par exemple un traitement complémentaire à la prostatectomie
examens de médecine nucléaire	par exemple TEP
séquelle esthétique	par exemple cicatrice après une opération
anti-agrégant plaquettaire	par exemple Ticlid® , plavix , aspirine
prélèvement capillaire	par exemple on pique avec une petite aiguille une zone riche en petits vaisseaux sanguins , un doigt par exemple
équilibre flexion/extension	par exemple l' équilibre entre des muscles qui travaillent en opposition
fistule	par exemple tunnel de communication anormal entre deux organes : vagin et rectum par exemple
nouvelles méthodes d' imagerie médicale	par exemple TEP à la fluorodopa
utérus , trompes de Fallope	d' autres organes proches de l' ovaire à l' intérieur dubassin
utérus , trompes de Fallope	par exemple , d'autres organes proches de l' ovaire à l' intérieur dubassin
perfusion	par exemple injection continue goutte à goutte de médicaments liquides dans les veines (après une opération ou lors d' une chimiothérapie par exemple)
prothèse	par exemple dispositif mis en place pour remplacer un organe ou une articulation que l' on a enlevée (prothèse qui remplace un sein par exemple)
tissu	par exemple ensemble de cellules qui ont une même fonction (tissu musculaire ou tissu osseux par exemple)
exérèse	par exemple opération , sous anesthésie générale , consiste à retirer la lésion chirurgicalement
somatotopie	par exemple ce qu' on appelle chaque partie du corps est projetée dans l' aire motrice primaire du cerveau
cause rare mais grave	par exemple comme une rupture d' anévrysme
problème de santé	par exemple  un autre maladie rénale
malformation vasculaire	par exemple d' autres malformations artério-veineuses
sténose	par exemple également appelé un rétrécissement du canal anal
anxiolytiques	par ex : Valium® ou Hypnovel®
lumbago	par exemple Il s' agit d' une douleur qui survient brutalement , en général après un effort qui peut être soit violent et inhabituel , soit banal comme par exemple se pencher sur un lavabo
infiltration	par exemple Il s' agit de l' administration locale , par une injection , d' un médicament destiné à agir au contact de votre lésion rhumatologique , par exemple : - autour d' un tendon pour une tendinite
facteurs « psychosociaux »	par exemple ce que l' on appelle l' insatisfaction au travail , ou bien la profession jugée par la personne concernée , comme monotone
hémorragie cérébrale	par exemple se traduire par une crise d' épilepsie , un mal de tête soudain , des nausées , des troubles de la vision , des difficultés à bouger un membre (il devient par exemple difficile d' écrire)
Complications de la cataracte	par exemple telles que le glaucome par augmentation du volume du cristallin
HMG CoA réductase	par exemple traduisez HydroxyMéthylGlutaryl CoenzymeA réductase
angioplastie	rétrécissement d' une artère peut être traité à l' aide d' un ballon
endoprothèse	petit tunnel métallique
furonculose	infection de la peau caractérisées par la survenue de boutons purulents
lipide	graisses
tests d' imagerie	radiographie , tomodensitométrie ou « scan »
AVC hémorragique	un vaisseau sanguin du cerveau se rompt
examen IRM	imagerie par résonance magnétique
chimiothérapie avant la chirurgie	appelée chimiothérapie néoadjuvante
actes douloureux de courte durée	piqûres, ponctions, petite chirurgie, réductions de fracture ou soins douloureux
chimiothérapie complémentaire	appelée La chimiothérapie est proposée en complément d' un traitement principal
sténose	également appelé un rétrécissement du canal anal
« greffes cancéreuses péritonéales »	on parle de Lorsque les cellules cancéreuses se propagent dans la cavité péritonéale , elles peuvent se greffer un peu partout dans la cavité
maladie de Crohn	ou la recto-colite hémorragique
plaie chronique	ulcère de jambe
accident vasculaire cérébral (ou AVC)	Parfois appelé attaque cérébrale
douloureux brûlement urinaire	parfois appelé « chaude-pisse »
amyotrophie spinale proximale liée au gène SMN1	peut être appelée maladie de la corne antérieure de la moelle épinière, maladie du motoneurone, amyotrophie spinale antérieure (ASA), amyotrophie spinale infantile (ASI) ou, plus fréquemment, SMA (pour spinal muscular atrophy)
notion d' éducation thérapeutique	recouvre un large champ qui va de l' aide psychologique et sociale à l' information sur la maladie et ses traitements , en passant par l' organisation et la façon dont les soins se déroulent à l' hôpital
ose	renvoie à une maladie
Complexe de Carney	s' appelle maladie génétique très rare
syndromes myasthéniques congénitaux	se caractérisent par une faiblesse musculaire localisée ou généralisée, accentuée à l'effort, une chute de la paupière supérieure (ptosis), une paralysie des muscles de l'oeil (ophtalmoplégie) et des troubles de la déglutition
maladie professionnelle	se définit par une pathologie qui a pour origine les conditions de travail
candidose	se manifeste par une inflammation avec démangeaisons du gland et du prépuce
insuffisance cardiaque ou asystolie	se manifeste par une respiration rapide , des bruits du coeur accélérés et un bruit particulier dit de galop à l' auscultation
majorité des amyotrophies spinales distales	se manifeste par une faiblesse musculaire des muscles de la jambe et de la cheville
myopathie des ceintures	se manifeste par atteinte du tronc
glycogénose de type V	se manifeste par une intolérance à l'effort associée ou non à la survenue d'urines foncées ou coca cola
forme extrêmement rare du SAPL	se manifeste par l' apparition simultanée et brutale de thromboses sévères dans plusieurs organes (au moins trois)
« syndrome des jambes sans repos »	se manifeste par des mouvements des jambes incessants au cours de la nuit , survenant sous la forme de contractions répétitives et brèves d' une ou deux jambes
condylome	se manifeste par verrues
myotonie	sensation de raideur musculaire
ossification	'transformation'' du muscle en os
myoglobinurie	urines foncées ou coca cola
myalgie	douleur musculaire
tachycardie	accélération du rythme des battements cardiaques
myotonie paradoxale	raideur musculaire parfois douloureuse déclenchée par le froid et aggravée par l'effort
contracture	un enraidissement musculaire non douloureux
jaunisse ou ictère	une atteinte du foie
œdème	gonflement
myopathie des ceintures	atteinte du tronc
pronostic	se réfère à l' évolution habituellement observée chez de nombreuses autres personnes présentant une maladie identique
atteintes cardiaques	se traduisent soit par des troubles du rythme où le cour se met à battre irrégulièrement , soit par des lésions au niveau des valves cardiaques
vaginose bactérienne présentent un déséquilibre	se traduit par une croissance exagérée du nombre de bactéries nuisibles et une diminution importante des lactobacilles qui protègent normalement le vagin
anxiété	se traduit par un malaise général , un désarroi , une agitation ou une sensation d' anéantissement
ostéoporose	se traduit par une fragilité de l' os
ostéoporose	se traduit par par une fragilité de l' os
scoliose	se traduit par des anomalies dans les courbures de la colonne vertébrale
syndrome de Raynaud	se traduit par une décoloration des doigts au froid , puis une phase de recoloration douloureuse
éclampsie	se traduit par des crises convulsives et une augmentation de la pression à l' intérieur du crâne chez la mère (hypertension intracrânienne) , potentiellement fatales à la mère ou au fœtus
déformations	nodosités d' Heberden et de Bouchard
constipation	diminution du transit intestinal
hyperexcitabilité musculaire	c'est-à-dire le muscle se met en activité à la moindre excitation mécanique
« point de côté »	de type une douleur dans la poitrine
érythémato-pultacée	signifie la gorge est rouge et blanche
nom de la maladie , glycogénose	signifie « surcharge en glycogène »
terme « autosomique »	signifie le gène en cause dans la maladie n' est pas situé sur les chromosomes sexuels (les chromosomes X et Y)
terme « épilepsie »	signifie « prendre par surprise , attaquer »
transmission autosomique récessive	signifie les parents ne sont pas malades , mais qu' ils sont tous les deux porteurs d' un exemplaire défectueux du gène SMN1
terme « isolée »	signifie cette malformation n' est associée à aucune autre anomalie
Autosomique	signifie le gène responsable de la maladie n' est pas lié au sexe du porteur
transmission est souvent autosomique dominante	signifie le gène anormal peut se transmettre à la descendance avec un risque de 50 pour chaque enfant , et un risque équivalent pour les garçons et les filles
Etre séropositif pour le VIH	signifie l' on est infecté par le virus du VIH et qu' on peut le transmettre
Prévenir	signifie aussi diagnostiquer la maladie le plus tôt possible
vulve	orifices sexuels féminins
colon	gros intestin
entérocolopathie inflammatoire	maladies inflammatoires touchant le colon (gros intestin) ou l' intestin grêle
dystrophie musculaire congénitale	maladie rare d'origine génétique
amyotrophie spinale distale	maladie d'origine génétique
amyotrophie spinale proximale	maladie d'origine génétique
syndromes myasthéniques congénitaux	maladies de la jonction neuromusculaire
maladie de Charcot-Marie-Tooth	atteintes dégénératives du nerf périphérique
bicalutamide	sous le nom de Casodex®
ictère	coloration jaune des yeux et/ou de la peau
fonctions vitales	telle que la respiration ou encore le rythme cardiaque
hormone	telle que la dopamine ou la prolactine
neuropathie périphérique	telle que les CMT
affection pulmonaire	telle que la bronchite chronique
bêta2-glycoprotéine ou la prothrombine	telles que des protéines liées aux phospholipides
cellule immunitaire	telle que les lymphocytes , les macrophages et les « cellules géantes »
maladie endocrinienne	l' hypothyroïdie ou l' acromégalie
maladie multifactorielle	le diabète , l' asthme , des maladies cardio-vasculaires , des maladies auto-immune , des maladies psychiatriques ou neuro-dégénératives
hormone sexuelle	telle que la progestérone ou les œstrogènes
activité	telle que grimper une échelle ou faire de longues marches
endoprothèse	ou « stent »
facteurs aggravants de la maladie asthmatique	tels le tabagisme (actif ou passif) , un effort physique , un stress
péritoine	tels que double membrane qui tapisse l' intérieur de l' abdomen et recouvre les organes abdominaux tels que l' estomac , le foie , le pancréas , etc
effets secondaires sur la sexualité	tels que l' absence de désir et l' impuissance
traumatismes importants	tels que les fractures et les luxations
médicament	tels que laxatifs , diurétiques et/ou des drogues
anesthésie régionale	tels que la rachianesthésie ou l' anesthésie péridurale
tests d' imagerie	autres le tomodensitogramme ou l' IRM
trouble gynécologique	règles irrégulières ou inexistantes , tension des seins et/ou douleur avant les règles , hémorragies utérines , relations sexuelles douloureuses
mésothérapie	consiste à injecter sous la peau des micro-gouttelettes de produits habituellement administrés par voie injectable tels que des anesthésiques locaux , des décontracturants , des anti-inflammatoires
cyanose	traduit un ralentissement de la circulation sanguine , un trouble de l' hématose pulmonaire ou la contamination du sang artériel oxygéné par du sang veineux
spondylarthropathie	veut dire On appelle un groupe de maladie qui peuvent se succéder à un degré divers chez une personne , ou dans sa famille et qui présentent des facteurs communs
activité physique	y compris la marche
antispasmodique	médicaments des douleurs abdominales
maladie de Charcot-Marie-Tooth	maladies du nerf périphérique
problème cardiaque	insuffisance cardiaque , troubles du rythme
malaise physique	gêne respiratoire , mal de ventre , troubles digestifs
maladie inflammatoire chronique	recto-colite-hémorragique et maladie de Crohn
trouble urinaire	adénome de la prostate
chondrocalcinose	dépôts de calcium dans le cartilage
ostéonécrose	maladies de l' os sous-chondral
signes dits « cérébelleux »	incoordination motrice , les troubles de l' équilibre et de la marche
claudication des mâchoires	douleurs et des difficultés lors de la mastication
expression « chaude-pisse »	brûlure intense en urinant
virus de l' hépatite B	fait partie de famille des Picornavirus
palliative	freine la progression de la maladie et en atténue les effets sans toutefois réussir à éliminer complètement la maladie
électrocardiogramme	ECG , enregistrement de l' activité électrique cardiaque
Hypertension artérielle pulmonaire	pression artérielle élevée dans les artères qui conduisent le sang du côté droit du cœur jusqu'aux poumons)
trouble des lipides associés	taux élevé de cholestérol
lithiase	calculs rénaux ou biliaires
nimésulide	Nexen ®
vinflunine	Javlor ®
buflomédil	Fonzylane ®
ostéoporose	L' atteinte de l' os lui-même qui se décalcifie par endroits
Traumatismes importants ou faibles à répétition	travaux pénibles , sports violents , lésion du ménisque
Anomalie de position de l'articulation	scoliose , malformation de la hanche
infection vaginale	mycoplasmes , chlamydiae
Maladie maternelle	diabète , syphilis , maladie infectieuse
radiothérapie	rayons
syndrome paranéoplasique	fièvre au long cours , polyglobulie , hypercalcémie
ictère	coloration jaune de la peau
altération de l' état général	fatigue , manque d' appétit , notamment pour les viandes , amaigrissement , petite fièvre
melaena	Des traces de sang noir dans les selles
shunt droit-gauche	la contamination du sang artériel oxygéné par du sang veineux
Processus expansifs intracérébraux	tumeur , abcès
cervicale	cou
ophtalmologique	oeil
carotidienne	artères cérébrales en avant du cou
frontale ou fronto-pariétale	en avant et sur le dessus de la tête
trouble ophtalmologique	réduction champ visuel du côté gauche ou droit ou bilatéral , trouble de la sensibilité et de la coordination
pollakiurie	mictions fréquentes et de faible abondance
microcytaire	une diminution du volume globulaire moyen
hyperCKémie	élévations isolées des enzymes musculaires
raideur musculaire	difficulté à la décontraction après un mouvement volontaire
glycogène de structure anormale	glycogénose type 4 ou amylopectinose
syndrome du canal rapide	fermeture trop rapide du RACh
syndrome du canal lent	prolongement de l'ouverture du RACh
congénital	La maladie est le plus souvent présente dès la naissance
ptosis	une chute de la paupière supérieure
ophtalmoplégie	une paralysie des muscles de l'oeil
atrophie musculaire péronière	une atrophie progressive, plus marquée aux jambes
pneumoconiose	terme terme général désignant les maladies causées par l'inhalation de poussières minérales
grippe	influenza
hypopnée	respiration partiellement bloquée
voie respiratoire	votre nez et votre gorge
chronique	à long terme
rhinite allergique	le rhume des foins
MPOC	bronchite chronique et emphysème
col de l' utérus	orifice permettant de pénétrer à l' intérieur de l' utérus lui-même
alopécie	perte de cheveux temporaire
peau pèle	une desquamation de la paume des mains et de la plante des pieds
érythème	une rougeur de la peau semblable à un coup de soleil
urticaire	des petits boutons ou des plaques rosées
rétinopathie	altération de la rétine
symptômes neurologiques	maux de tête , vertiges , troubles de la vision
cytoponction	enlever des cellules
biopsie	enlever un fragment de tissu dans l' anomalie du sein
anesthésie générale	endormir et rendre insensible un patient
anesthésie locale	endormir et rendre insensible une partie du corps
ganglion axillaire	aisselles
radiographie des poumons	examen standard
neutropénie	une baisse du nombre de globules blancs
trouble digestif	perte d' appétit , nausées , diarrhée ou constipation , gaz , ballonnements abdominaux , digestion difficile , sensation de satiété rapide même après un repas léger , sensation de ventre dur
signes de compression de l' appareil urinaire	envies fréquentes d' uriner , fuites des urines lors d' efforts ou en toussant
maladie rhumatismale inflammatoire	certaines spondylarthrite ankylosante , polyarthrite rhumatoïde
trouble de la mémoire à long terme	celle des souvenirs
hyperparathyroidie	sécrétion anormalement élevée des glandes parathyroïdes
hémochromatose	maladie du métabolisme du fer
ostéoporose	affection associée à une perte de masse osseuse , entraînant une augmentation de l' incidence des fractures
imagerie à double énergie	DXA or DEXA
veine cave supérieure	une des plus larges veines du corps qui renvoie directement vers le cœur le sang provenant de la moitié supérieure du corps
tomodensitométrie	CT ; examen d' imagerie médicale assisté par ordinateur qui révèle la densité des différents tissus du corps en fonction des variations d' absorption des rayons X
imagerie par résonance magnétique	IRM ; technique de diagnostic radiologique qui permet d' obtenir des images internes du corps
artère	vaisseau qui va du coeur vers le cerveau
veine	vaisseau qui va du cerveau au coeur
intervention	intervention qui consiste à dilater le col de l' utérus et à racler la paroi interne de l' utérus
endoprothèse	stent
hypertension rénovasculaire	tension artérielle élevée causée par le rétrécissement des artères rénales
hémodialyse	acte au cours duquel une machine élimine les déchets du sang du patient et renvoie le sang propre au patient
maladie des artères carotidiennes	rétrécissement des artères du cou qui alimentent le cerveau en sang
artères carotidiennes	larges artères du cou qui sont les voies principales d' alimentation du cerveau en sang et en oxygène
céphalées	des maux de têtes
ventilation non invasive	ne pénètre pas dans l' organisme
crises généralisées	Les crises peuvent toucher tout le corps avec perte de connaissance
crises partielles	Les crises peuvent toucher une partie limitée ou une moitié du corps
diplopie	vision double
syndrome parkinsonien	lenteur , rigidité , tremblement
hypotension orthostatique	problème de régulation du système urinaire et génital
trouble de l' érection	problème de régulation de la pression sanguine
anticholinergiques	des médicaments qui diminuent l' hyperactivité de la vessie
ecchymoses	bleus
ostéoporose	déminéralisation des os
ostéoporose	perte des sels minéraux contenus dans les os
amyotrophie	une fonte musculaire
hyperlipidémie , hypercholestérolémie	une augmentation , dans le sang , des graisses
cerveau	cortex cérébral moteur
holoprosencéphalie	l' absence de division des hémisphères cérébraux
sternum	os qui se trouve au milieu du thorax , entre les côtes
libido	désir sexuel
apnées	arrêts respiratoires
acromégalie	croissance exagérée du visage
insuline	hormone produite par le pancréas
crise cardiaque	infarctus du myocarde
ostéoporose	mauvaise absorption du calcium
dermite herpétiforme	maladie de peau comprenant la formation d' ampoules à répétition
hyperglycémie	un excès de sucre dans le sang
bronche	conduit apportant l' air aux poumons
bronche	des voies respiratoires
consommation excessive d' alcool	plus de trois verres de vin par jour chez l' homme
problème psychosociaux	activité professionnelle , troubles de l' alimentation
tissus insulino-sensible	tissus adipeux ou musculaires , foie
DMLA	dégénérescence maculaire liée à l' âge
AVC ischémique	un arrêt du fonctionnement cérébral qui peut avoir lieu : - si une partie du cerveau n' est plus irriguée
prédiabète	diminution de la sensibilité à l' insuline
électrocardiogramme	enregistrement électrique du rythme cardiaque
cardiomyopathie	maladie du muscle cardiaque
fibrose	les cellules musculaires cardiaques sont remplacées progressivement par de la graisse et du tissu fibreux
tachycardie ventriculaire	accélération du rythme
arrêt cardiaque	mort subite
trouble du rythme précoce	tachycardie/arythmie supraventriculaire ou ventriculaire
atteinte musculaire	faiblesse musculaire
endocardite	infection cardiaque
BPCO	Broncho-Pneumopathie Chronique Obstructive
chorée de Sydenhan	danse de Saint-Guy
Urologue	ou chirurgien urologue
vaginose	appelée vaginite non spécifique , vaginite anaérobie ou pertes vaginales dues à Gardelerella
affection neurologique et neurodéveloppementale	comme l'épilepsie, la paralysie cérébrale, l'accident cérébrovasculaire, la déficience intellectuelle, le retard développemental modéré à sévère, la dystrophie musculaire ou les blessures de la moelle épinière
système immunitaire affaibli par la maladie	comme l'infection à VIH et le cancer
orthopantomogramme	radiographie des deux maxillaires
vinflunine	un anticancéreux commercialisé pour certains cancers de la vessie
buflomédil	un vasodilatateur dont les effets indésirables sont largement supérieurs à l'efficacité, laquelle n'a pas été démontrée
jonction neuromusculaire	une zone de ''communication'' entre le nerf moteur qui commande et le muscle qui agit
colostomie	ou stomie de protection ou anus artificiel
ostéosclérose sous-chondrale	L' atteinte de l' os lui-même qui se décalcifie par endroits (ostéoporose) et se condense en d' autres , notamment dans la partie près de l' articulation au niveau des zones de pression
vessie	un organe creux contigu
Céphalées liées à une anomalie du métabolisme	anémie ou polyglobulie
myopathie	une maladie rare du muscle
cancers urologiques	cancer du rein , de la vessie , de la prostate , des testicules , du pénis
trouble de l' articulation de la mâchoire	des douleurs sont ressenties pendant la mastication ou spontanément
trouble de la parole	difficultés d' articulation , rythme saccadé , voix grinçante ou assourdie
SEP	maladie du système nerveux central
signes d' insuffisance vertébro-basilaire	vertiges , troubles ophtalmologiques , syndrome de Claude Bernard Horner
traitement par ultrasons focalisés de haute intensité	a pour but détruire les cellules cancéreuses au moyen d' ultrasons
AMS de forme C (cérébelleuse)	anciennement atrophie olivopontocérébélleuse
condyle occipital	appelé un os du crâne
trouble du rythme cardiaque gravissime	appelé fibrillation ventriculaire
névrome de Morton	appelé également maladie de Morton ou métatarsalgie de Morton
« syndrome d'apnée–hypopnée obstructive du sommeil »	appelé La combinaison de moments d'apnée (interruptions de la respiration) et de moments d'hypopnée (respiration partiellement bloquée)
« polysomnographie »	appelé test
colostomie	appelé stomie de protection ou anus artificiel
côlon	appelé la dernière partie du gros intestin
partie centrale […] disque intervertébral	appelé nucléus pulposus
ictère ou jaunisse	appelé coloration jaunâtre de la peau et/ou des conjonctives
atteinte primitive bilatérale des surrénales	appelé PPNAD (Primary Pigmented Nodular Adrenal Disease)
hypoderme	appelé tissu sous-cutané
« monochimiothérapie »	appelé un seul médicament de chimiothérapie
cyclophosphamide	appelé aussi Endoxan®
fluoro-uracile	appelé aussi 5-FU
macula	appelée la zone centrale de la rétine
fibrodysplasie ossifiante progressive (FOP)	appelée maladie de l'Homme de Pierre ou myosite ossifiante
claudication intermittente	appelée lourdeur musculaire
cavernome cérébral	aussi appelé angiome caverneux
imagerie par échographie	aussi appelée scan échographique ou sonographie
glomérulonéphrite post-streptococcique	c'est-à-dire une atteinte rénale
métatarse	c'est-à-dire les os de l' extrémité du pied
système nerveux central	c'est-à-dire le cerveau et la moelle épinière
myotonie	c'est-à-dire une sensation de raideur musculaire
se contracter	c'est-à-dire devenir plus court
maladie chronique des poumon	l'asthme et la maladie pulmonaire obstructive chronique
maladie chronique	l'asthme et la MPOC
maladie inflammatoire de la synoviale	la polyarthrite rhumatoïde
tissus lymphoïdes	comme par exemple les amygdales
curiethérapie	consiste à détruire les cellules cancéreuses par l' implantation de sources radioactives à l' intérieur de la prostate
curiethérapie	consiste à détruire les cellules cancéreuses par l' implantation de sources radioactives à l' intérieur de la prostat
pose d' endoprothèse vasculaire	consiste à placer un petit tube grillagé appelé endoprothèse (stent) dans l' artère que l' on vient d' ouvrir
chorée de Sydenhan	correspondant à une atteinte neurologique
jonction neuromusculaire	dite aussi « plaque motrice »
cryothérapie	également appelée cryochirurgie
athéromatose artérielle périphérique	également appelée maladie vasculaire athérosclérotique
angine dite blanche	est en réalité érythémato-pultacée
athérosclérose	est la la première maladie cardiovasculaire au monde
appendice	est un diverticule naturel qui prolonge le cæcum
graisse gynoïde normale	est un caractère sexuel secondaire , plus ou moins accentué
diabète	et d'autres troubles endocrinien
maladie de la membrane synoviale	ex : infection articulaire
maladie coronarienne	fait partie des maladies cardiovasculaires
anémies « hémolytiques »	notamment bêta-thalassémie et drépanocytose
lymphogranulomatose vénérienne	ou maladie de Nicolas Favre
Amyotrophie spinale distale	ou neuropathie motrice héréditaire distale
glycogénose de type V	ou maladie de McArdle
condyle occipital	ou l'occiput
striées de sang	ou selles sanglantes
hormone de croissance	ou hormone somatotrope
diastole	ou repos cardiaque
syndrome de Kennedy	ou amyotrophie bulbo-spinale liée à l'X
corticoïdes	ou corticostéroïdes
furoncles	ou boutons purulents
maladie de Kennedy	ou amyotrophie bulbo-spinale liée à l' X
tissu	par exemple tissu musculaire , tissu osseux
lymphe	par exemple une hormone
hormone sexuelle mâle	par exemple la testostérone
substance liquide	par exemple le sang
produit de contraste	par exemple iode
tissu	par exemple tissu cutané
hyperglycémie	que l' on appelle le sang contient trop de sucre
maladie contagieuse	qui se transmet d' homme à homme
fibrodysplasie ossifiante progressive (FOP)	se caracterise par la survenue, dès l'enfance, d'épisodes d'ossification dans les muscles, tendons, et ligaments, conduisant à terme à une ankylose progressive et très invalidante
paramyotonie congénitale d'Eulenburg	se caractérise par une myotonie au niveau du visage et parfois des membres
SIDA	se caractérise par l' apparition d' infection opportunistes graves , des cancers , un état de faiblesse extrême ou des maladies plus rares
aplasie médullaire	se traduit directement par une chute du nombre des différents types de cellules sanguines
inflammation du rectum	se traduit par une envie plus fréquente et parfois douloureuse d' aller à la selle , avec quelquefois de « faux besoins » et des brûlures au niveau de l' anus
dysplasie	se traduit par des luxations récidivantes de la rotule
faiblesse musculaire	se traduit par un déficit des acquisitions au plan moteur : il a , par exemple , une difficulté à maintenir la tête , à se retourner , puis à s' asseoir
terme agénésie ou dysgénésie	signifiant « absence de développement » ou « développement imparfait »
apraxie	signifie sans action
stoma	signifie bouche
formes autosomiques dominantes	signifie le gène anormal peut se transmettre à la descendance avec un risque de 50 pour chaque enfant , et un risque équivalent pour les garçons et les filles
suffixe « ite »	signifie signifie inflammation ou infection
corticoïde	des anti-inflammatoires dits « stéroïdiens »
amyotrophie spinale proximale	groupe de maladies héréditaires qui se caractérisent par une faiblesse musculaire liée à une paralysie plus ou moins importante , et par une fonte ou « atrophie » des muscles de la racine des membres , c'est-à-dire des hanches , des épaules (muscles dits « proximaux ») , ainsi que des muscles du tronc
AVC	souvent appelé « attaque cérébrale »
traitement anticoagulant	tel que le Coumadin
MST	telles que chlamydia et gonorrhée
spondylarthropathie	telle que l' arthrite réactionnelle
organes abdominaux	tels que l' estomac , le foie , le pancréas
anti-inflammatoires dits « stéroïdiens »	tels que la prednisone
myasthénie familiale	dite des ceintures
AVC	voir Accidents vasculaires cérébraux
